Article ID;GOLD: R: Risikotypen;GOLD: R: RT: Datenschutz, Privatsphäre, Überwachung;GOLD: R: RT: Haftung/Verantwortung;GOLD: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;GOLD: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;GOLD: R: RT: Intransparenz (Blackbox);GOLD: R: RT: Kommodifizierung der Nutzer (Ausbeutung);GOLD: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;GOLD: R: RT: Diskriminierung, Ungleichheit;GOLD: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;GOLD: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;GOLD: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;GOLD: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;GOLD: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);GOLD: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;GOLD: R: RT: Wirtschaftlichkeit und Effizienz;GOLD: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;GOLD: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;GOLD: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;GOLD: R: RT: Marktmacht, Monopolisierung;PRED: R: Risikotypen;PRED: R: RT: Datenschutz, Privatsphäre, Überwachung;PRED: R: RT: Haftung/Verantwortung;PRED: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;PRED: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;PRED: R: RT: Intransparenz (Blackbox);PRED: R: RT: Kommodifizierung der Nutzer (Ausbeutung);PRED: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;PRED: R: RT: Diskriminierung, Ungleichheit;PRED: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;PRED: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;PRED: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;PRED: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;PRED: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);PRED: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;PRED: R: RT: Wirtschaftlichkeit und Effizienz;PRED: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;PRED: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;PRED: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;PRED: R: RT: Marktmacht, Monopolisierung;AVG DIFF: R: Risikotypen;AVG DIFF: R: RT: Datenschutz, Privatsphäre, Überwachung;AVG DIFF: R: RT: Haftung/Verantwortung;AVG DIFF: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;AVG DIFF: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;AVG DIFF: R: RT: Intransparenz (Blackbox);AVG DIFF: R: RT: Kommodifizierung der Nutzer (Ausbeutung);AVG DIFF: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;AVG DIFF: R: RT: Diskriminierung, Ungleichheit;AVG DIFF: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;AVG DIFF: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;AVG DIFF: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;AVG DIFF: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;AVG DIFF: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);AVG DIFF: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;AVG DIFF: R: RT: Wirtschaftlichkeit und Effizienz;AVG DIFF: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;AVG DIFF: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;AVG DIFF: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;AVG DIFF: R: RT: Marktmacht, Monopolisierung;Average difference per article
FALTER_201804043CD17074DB;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6561;0.0259;0.0136;0.0083;0.0073;0.0022;0.0005;0.0079;0.0007;0.163;0.0097;0.0012;0.0;0.0002;0.0;0.172;0.0013;0.0006;0.0006;0.0059;0.3439;0.9741;0.0136;0.9917;0.0073;0.9978;0.0005;0.0079;0.0007;0.163;0.0097;0.0012;0.0;0.0002;0.0;0.172;0.0013;0.0006;0.0006;0.0059;0.1846
OOEN_20180707014504095450024;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9108;0.1458;0.0697;0.0522;0.016;0.01;0.0072;0.0159;0.1464;0.6407;0.009;0.3403;0.0431;0.0046;0.3317;0.0017;0.0192;0.0069;0.7974;0.0172;0.0892;0.8542;0.0697;0.0522;0.016;0.01;0.0072;0.0159;0.1464;0.6407;0.009;0.3403;0.0431;0.0046;0.3317;0.0017;0.0192;0.0069;0.7974;0.0172;0.1736
STANDARD_20141112040502235530058;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0.4161;0.0002;0.0;0.0005;0.0024;0.0017;0.0001;0.0217;0.0287;0.0382;0.0005;0.0007;0.0;0.0001;0.0362;0.0004;0.0041;0.0202;0.1906;0.0005;0.5839;0.0002;0.0;0.0005;0.0024;0.0017;0.0001;0.0217;0.0287;0.0382;0.0005;0.0007;0.0;0.0001;0.0362;0.0004;0.0041;0.0202;0.8094;0.9995;0.1274
HOR_201802026B29B8014D;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.9993;0.0821;0.0074;0.9996;0.8265;0.0024;0.0006;0.0004;0.9999;0.0082;0.9964;0.9987;0.0141;0.0002;0.0032;0.0001;0.0094;0.0003;0.0027;0.622;0.0007;0.0821;0.0074;0.0004;0.1735;0.0024;0.0006;0.0004;0.0001;0.0082;0.9964;0.9987;0.0141;0.0002;0.0032;0.0001;0.0094;0.0003;0.0027;0.622;0.1461
KURIER_201803130401050042;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9986;0.0012;0.01;0.1357;0.015;0.0008;0.0015;0.0022;0.0853;0.3864;0.0703;0.6281;0.0;0.0;0.0004;0.0062;0.021;0.0065;0.0594;0.069;0.0014;0.0012;0.01;0.8643;0.015;0.0008;0.0015;0.0022;0.0853;0.3864;0.0703;0.6281;0.0;0.0;0.0004;0.0062;0.021;0.0065;0.0594;0.069;0.1115
KURIER_201807101920500128;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0.9943;0.007;0.0013;0.0006;0.0;0.0;0.0;0.0075;0.0089;0.8548;0.0053;0.567;0.0025;0.0004;0.0009;0.1765;0.0133;0.0076;0.7899;0.0;0.0057;0.993;0.0013;0.0006;0.0;0.0;0.0;0.0075;0.0089;0.1452;0.0053;0.567;0.0025;0.0004;0.0009;0.8235;0.0133;0.0076;0.7899;0.0;0.1686
KURIER_201806021920310102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0013;0.0002;0.0011;0.0;0.0004;0.0;0.0;0.001;0.0;0.0039;0.0001;0.0007;0.0004;0.0002;0.001;0.0003;0.0009;0.002;0.0054;0.0001;0.0013;0.0002;0.0011;0.0;0.0004;0.0;0.0;0.001;0.0;0.0039;0.0001;0.0007;0.0004;0.0002;0.001;0.0003;0.0009;0.002;0.0054;0.0001;0.0009
WZ_20161116031310289520007;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.6449;0.0258;0.0002;0.1417;0.0005;0.0001;0.0001;0.0002;0.0018;0.0361;0.4057;0.0016;0.0;0.0;0.0009;0.0;0.0041;0.0;0.0023;0.0019;0.3551;0.0258;0.0002;0.1417;0.0005;0.0001;0.0001;0.0002;0.9982;0.0361;0.4057;0.0016;0.0;0.0;0.0009;0.0;0.0041;0.0;0.0023;0.0019;0.0987
HOR_201505221355140028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9717;0.0007;0.0047;0.0002;0.0002;0.0;0.0;0.0;0.0;0.9748;0.0002;0.0003;0.0001;0.0;0.0003;0.0058;0.0;0.0141;0.0042;0.0001;0.9717;0.0007;0.0047;0.0002;0.0002;0.0;0.0;0.0;0.0;0.9748;0.0002;0.0003;0.0001;0.0;0.0003;0.0058;0.0;0.0141;0.0042;0.0001;0.0989
STANDARD_200708291921100100;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.4975;0.0034;0.0149;0.0;0.0048;0.0001;0.0;0.0007;0.0006;0.0162;0.0003;0.0349;0.0048;0.0002;0.0029;0.0002;0.0;0.0188;0.0088;0.0002;0.5025;0.9966;0.9851;0.0;0.0048;0.0001;0.0;0.0007;0.0006;0.9838;0.0003;0.0349;0.0048;0.0002;0.0029;0.0002;0.0;0.0188;0.0088;0.0002;0.1773
PRESSE_201405041915370159;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.9506;0.0007;0.0212;0.0002;0.0156;0.0041;0.0027;0.0107;0.0098;0.0001;0.0261;0.1226;0.1242;0.0003;0.2109;0.0;0.0031;0.0325;0.3613;0.0019;0.0494;0.9993;0.0212;0.0002;0.0156;0.0041;0.0027;0.0107;0.0098;0.0001;0.9739;0.1226;0.1242;0.0003;0.2109;0.0;0.0031;0.0325;0.3613;0.0019;0.1472
FALTER_201607068366BB6A49;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0.9985;0.0253;0.0017;0.752;0.0455;0.0408;0.0042;0.0546;0.1431;0.0442;0.0129;0.008;0.0;0.001;0.0073;0.0006;0.0541;0.138;0.2168;0.1263;0.0015;0.0253;0.0017;0.248;0.9545;0.9592;0.0042;0.0546;0.1431;0.0442;0.0129;0.008;0.0;0.001;0.0073;0.0006;0.9459;0.138;0.7832;0.8737;0.2603
MWVOLL_20180527_9850944;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0.3419;0.8122;0.0088;0.0117;0.0001;0.0002;0.0004;0.0009;0.0;0.0125;0.0091;0.0043;0.0008;0.0152;0.0;0.0001;0.0022;0.0002;0.0006;0.0242;0.6581;0.1878;0.0088;0.9883;0.9999;0.0002;0.0004;0.0009;0.0;0.9875;0.9909;0.9957;0.0008;0.0152;0.0;0.0001;0.0022;0.0002;0.0006;0.0242;0.2931
WZ_20170223031110261430020;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0.439;0.0001;0.0011;0.0006;0.0044;0.0;0.0;0.0011;0.0001;0.2158;0.0;0.0004;0.0011;0.0;0.003;0.0001;0.0002;0.0654;0.0001;0.0002;0.561;0.0001;0.0011;0.0006;0.0044;0.0;0.0;0.0011;0.9999;0.2158;0.0;0.9996;0.0011;0.0;0.003;0.0001;0.0002;0.0654;0.0001;0.0002;0.1427
HOR_20180420D5FA94E99C;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9303;0.3634;0.1346;0.0417;0.0117;0.0064;0.0011;0.0116;0.0113;0.8649;0.032;0.0093;0.0003;0.0024;0.0105;0.0025;0.0002;0.0204;0.0011;0.0035;0.0697;0.6366;0.1346;0.0417;0.0117;0.9936;0.0011;0.0116;0.0113;0.8649;0.032;0.0093;0.0003;0.0024;0.0105;0.0025;0.0002;0.0204;0.0011;0.0035;0.143
FALTER_201607066AE4DE74BC;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0.9238;0.0532;0.0008;0.0021;0.0006;0.0002;0.0001;0.0009;0.0036;0.9714;0.0087;0.0258;0.0;0.0004;0.0017;0.0045;0.0077;0.0026;0.0563;0.0001;0.0762;0.0532;0.0008;0.9979;0.9994;0.9998;0.9999;0.0009;0.0036;0.9714;0.0087;0.0258;0.0;0.0004;0.9983;0.0045;0.0077;0.0026;0.0563;0.9999;0.3604
MWVOLL_20181112_10516521;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9987;0.0073;0.0001;0.0;0.0014;0.0;0.0001;0.0328;0.0;0.6168;0.0003;0.0001;0.0042;0.0011;0.0002;0.0;0.0077;0.0021;0.0547;0.0004;0.0013;0.0073;0.0001;0.0;0.0014;1.0;0.0001;0.0328;0.0;0.6168;0.0003;0.0001;0.0042;0.0011;0.0002;0.0;0.0077;0.0021;0.0547;0.0004;0.0865
SN_20160921013100182820086;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.999;0.4399;0.4945;0.0992;0.015;0.0033;0.0028;0.004;0.2607;0.401;0.3322;0.7268;0.0006;0.0027;0.0224;0.043;0.0095;0.0124;0.4008;0.0335;0.001;0.4399;0.4945;0.9008;0.015;0.0033;0.0028;0.004;0.2607;0.401;0.6678;0.7268;0.0006;0.0027;0.0224;0.043;0.0095;0.0124;0.4008;0.0335;0.2221
PRESSE_201509191915460085;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.9191;0.0047;0.0002;0.0004;0.0359;0.0001;0.0001;0.0011;0.0007;0.0268;0.0003;0.0067;0.0;0.0005;0.0005;0.0;0.0258;0.0056;0.003;0.0009;0.0809;0.0047;0.9998;0.9996;0.0359;0.9999;0.0001;0.0011;0.0007;0.0268;0.0003;0.9933;0.0;0.0005;0.0005;0.0;0.0258;0.0056;0.003;0.0009;0.209
SN_20180505013249159810031;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.9988;0.3189;0.0077;0.065;0.0564;0.0141;0.0001;0.0057;0.0014;0.3187;0.0004;0.3318;0.0007;0.0025;0.0001;0.0011;0.0006;0.0077;0.0004;0.0036;0.0012;0.3189;0.0077;0.935;0.0564;0.0141;0.0001;0.0057;0.0014;0.3187;0.9996;0.3318;0.0007;0.0025;0.0001;0.0011;0.0006;0.0077;0.0004;0.0036;0.1504
STANDARD_20171009194501248060058;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.9995;0.004;0.0034;0.0165;0.0366;0.0;0.0004;0.024;0.0078;0.0345;0.0028;0.0475;0.0005;0.0001;0.0469;0.0016;0.6031;0.0122;0.9544;0.004;0.0005;0.004;0.0034;0.0165;0.0366;1.0;0.0004;0.024;0.0078;0.0345;0.9972;0.0475;0.0005;0.0001;0.0469;0.0016;0.6031;0.0122;0.9544;0.004;0.1898
FORMATDB_2018071356A3AACC31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.9303;0.0018;0.0017;0.0001;0.0104;0.0;0.0;0.0018;0.0004;0.0697;0.0008;0.0344;0.0009;0.0001;0.0086;0.0211;0.1382;0.0049;0.9406;0.0004;0.0697;0.0018;0.0017;0.0001;0.0104;0.0;0.0;0.0018;0.0004;0.0697;0.0008;0.0344;0.0009;0.0001;0.0086;0.0211;0.1382;0.9951;0.9406;0.0004;0.1148
SN_20121114232153184730065;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.1974;0.0064;0.0005;0.5326;0.1208;0.0005;0.0009;0.0086;0.1009;0.2141;0.0153;0.0009;0.0001;0.0003;0.0171;0.0001;0.0037;0.0066;0.0621;0.0525;0.8026;0.0064;0.0005;0.4674;0.1208;0.0005;0.0009;0.0086;0.1009;0.2141;0.9847;0.0009;0.0001;0.0003;0.0171;0.0001;0.0037;0.0066;0.0621;0.0525;0.1425
WZ_20180901_5080836;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1117;0.0787;0.0397;0.0001;0.0004;0.0011;0.0002;0.0098;0.0002;0.0211;0.0011;0.0209;0.1778;0.0979;0.0426;0.0001;0.0001;0.0254;0.0006;0.0002;0.8883;0.0787;0.0397;0.9999;0.0004;0.0011;0.0002;0.0098;0.0002;0.9789;0.0011;0.0209;0.1778;0.0979;0.0426;0.0001;0.0001;0.0254;0.0006;0.0002;0.1682
KURIER_201610132035450044;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9999;0.9313;0.0123;0.3826;0.3381;0.0472;0.0109;0.0911;0.0031;0.9102;0.0063;0.6916;0.0397;0.0475;0.0065;0.0;0.0493;0.006;0.1999;0.031;0.0001;0.0687;0.0123;0.6174;0.6619;0.0472;0.9891;0.0911;0.0031;0.9102;0.0063;0.6916;0.0397;0.0475;0.0065;0.0;0.0493;0.006;0.1999;0.031;0.2239
STANDARD_20180306194502455760039;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.995;0.8625;0.0175;0.0922;0.0051;0.0008;0.01;0.0736;0.0;0.1993;0.0101;0.0193;0.0001;0.0018;0.0027;0.0023;0.1987;0.016;0.038;0.0071;0.005;0.8625;0.9825;0.0922;0.0051;0.9992;0.01;0.0736;0.0;0.1993;0.9899;0.0193;0.0001;0.0018;0.0027;0.0023;0.1987;0.016;0.038;0.0071;0.2253
KURIER_201805031920330140;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.0;0.1891;0.1154;0.0289;0.0176;0.0108;0.0117;0.0126;0.0032;0.8517;0.0137;0.8138;0.0012;0.003;0.0086;0.0053;0.0391;0.2715;0.1252;0.0152;0.0;0.1891;0.1154;0.9711;0.0176;0.0108;0.0117;0.0126;0.0032;0.8517;0.0137;0.1862;0.0012;0.003;0.0086;0.0053;0.0391;0.2715;0.1252;0.0152;0.1426
MWVOLL_20161203_7668395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6135;0.0001;0.0;0.0;0.0016;0.0;0.0;0.0358;0.0011;0.0223;0.0004;0.0001;0.0002;0.0;0.0001;0.0001;0.0073;0.0003;0.02;0.0002;0.6135;0.0001;0.0;0.0;0.0016;0.0;0.0;0.0358;0.0011;0.0223;0.0004;0.0001;0.0002;0.0;0.0001;0.0001;0.0073;0.0003;0.02;0.0002;0.0352
TT_20181208BE359ADF61;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9232;0.0226;0.0023;0.0163;0.0041;0.0003;0.0;0.1937;0.0049;0.9635;0.001;0.0244;0.0;0.0014;0.0007;0.1304;0.0032;0.0025;0.042;0.0014;0.0768;0.0226;0.0023;0.9837;0.0041;0.0003;0.0;0.1937;0.0049;0.9635;0.001;0.0244;0.0;0.0014;0.0007;0.1304;0.0032;0.0025;0.042;0.0014;0.1229
KURIER_201709260401220003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9967;0.0203;0.0111;0.6682;0.0322;0.0341;0.0118;0.016;0.1855;0.8945;0.0145;0.0182;0.0007;0.0025;0.004;0.0657;0.0198;0.0089;0.007;0.2878;0.9967;0.0203;0.0111;0.6682;0.0322;0.0341;0.0118;0.016;0.1855;0.8945;0.0145;0.0182;0.0007;0.0025;0.004;0.0657;0.0198;0.0089;0.007;0.2878;0.165
KURIER_201611201920430069;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0101;0.0001;0.9564;0.9898;0.0486;0.0112;0.0043;0.0;0.0016;0.9952;0.961;0.0245;0.0;0.0;0.0;0.0005;0.0005;0.0;0.0015;0.0;0.0101;0.0001;0.0436;0.0102;0.0486;0.9888;0.0043;0.0;0.0016;0.9952;0.961;0.0245;0.0;0.0;0.0;0.0005;0.0005;0.0;0.0015;0.1545
SN_20150625013134095230069;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.9988;0.7574;0.4819;0.3101;0.0263;0.0014;0.0047;0.042;0.0204;0.9339;0.088;0.0067;0.0004;0.031;0.2564;0.0124;0.1196;0.0961;0.0247;0.0186;0.0012;0.2426;0.4819;0.6899;0.0263;0.0014;0.0047;0.042;0.9796;0.9339;0.088;0.0067;0.0004;0.031;0.2564;0.0124;0.1196;0.0961;0.0247;0.0186;0.2029
KURIER_201701250401240118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0061;0.1794;0.0;0.2661;0.0003;0.0002;0.4703;0.0042;0.3218;0.0024;0.877;0.1679;0.0003;0.0315;0.0008;0.001;0.0011;0.9718;0.0002;1.0;0.0061;0.1794;0.0;0.2661;0.0003;0.0002;0.4703;0.0042;0.3218;0.0024;0.877;0.1679;0.0003;0.0315;0.0008;0.001;0.0011;0.9718;0.0002;0.2151
KURIER_201611211920390062;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.9999;0.0556;0.0198;0.0019;0.0028;0.0075;0.0002;0.0194;0.0054;0.4271;0.0006;0.4261;0.0006;0.0021;0.0006;0.1096;0.0063;0.0237;0.0538;0.0057;0.0001;0.0556;0.0198;0.9981;0.0028;0.0075;0.0002;0.0194;0.0054;0.4271;0.0006;0.4261;0.0006;0.0021;0.0006;0.1096;0.0063;0.0237;0.0538;0.9943;0.1577
NEWS_201803302D93C6840A;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.9992;0.1823;0.001;0.8904;0.0692;0.0994;0.0474;0.0737;0.0479;0.5038;0.749;0.0162;0.0001;0.0009;0.0011;0.0223;0.2821;0.0294;0.1641;0.0453;0.0008;0.8177;0.001;0.1096;0.9308;0.0994;0.0474;0.0737;0.0479;0.5038;0.749;0.9838;0.0001;0.0009;0.0011;0.0223;0.2821;0.0294;0.1641;0.0453;0.2455
PRESSE_201206011916560077;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9992;0.076;0.0074;0.7588;0.7903;0.0001;0.0022;0.0324;0.3159;0.4141;0.0871;0.0452;0.0017;0.0001;0.0122;0.004;0.1288;0.0325;0.9615;0.1314;0.0008;0.924;0.0074;0.7588;0.7903;0.0001;0.0022;0.0324;0.3159;0.4141;0.0871;0.0452;0.0017;0.0001;0.0122;0.004;0.1288;0.0325;0.9615;0.1314;0.2325
MWVOLL_20151010_5965051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.991;0.0152;0.0069;0.0;0.0;0.0;0.0;0.0023;0.0;0.4113;0.0;0.0047;0.0001;0.0083;0.0001;0.4047;0.1358;0.0008;0.0001;0.0005;0.991;0.0152;0.0069;0.0;0.0;0.0;0.0;0.0023;0.0;0.4113;0.0;0.0047;0.0001;0.0083;0.0001;0.4047;0.1358;0.0008;0.0001;0.0005;0.0991
HOR_2017092225EA50DB01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.127;0.0014;0.0003;0.0003;0.0001;0.0001;0.0;0.0003;0.0006;0.0855;0.0012;0.0022;0.0;0.0002;0.0001;0.0028;0.0033;0.0003;0.017;0.0005;0.127;0.0014;0.0003;0.0003;0.0001;0.0001;0.0;0.0003;0.0006;0.0855;0.0012;0.0022;0.0;0.0002;0.0001;0.0028;0.0033;0.0003;0.017;0.0005;0.0122
TT_201804180CD23811B4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9797;0.9848;0.002;0.0006;0.0004;0.0001;0.0;0.0;0.0;0.0101;0.0001;0.0015;0.0;0.1348;0.0004;0.0002;0.0019;0.0;0.0003;0.0095;0.0203;0.0152;0.002;0.0006;0.0004;0.0001;0.0;0.0;0.0;0.0101;0.0001;0.0015;0.0;0.1348;0.0004;0.0002;0.0019;0.0;0.0003;0.0095;0.0099
KURIER_201612211920400031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9985;0.0033;0.0116;0.0001;0.0005;0.0;0.0001;0.0005;0.0;0.3778;0.0006;0.381;0.0014;0.0001;0.0012;0.0042;0.1662;0.0099;0.0414;0.0001;0.9985;0.0033;0.0116;0.0001;0.0005;0.0;0.0001;0.0005;0.0;0.3778;0.0006;0.381;0.0014;0.0001;0.0012;0.0042;0.1662;0.0099;0.0414;0.0001;0.0999
KURIER_201611161920420006;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1056;0.0095;0.0005;0.0005;0.0218;0.0008;0.0001;0.0009;0.0012;0.026;0.0001;0.0004;0.0004;0.005;0.0044;0.0001;0.0008;0.0002;0.0057;0.0324;0.8944;0.0095;0.9995;0.0005;0.0218;0.0008;0.0001;0.0009;0.0012;0.026;0.0001;0.0004;0.0004;0.005;0.0044;0.0001;0.0008;0.0002;0.0057;0.0324;0.1002
KLEINE_20170619041003151010191;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.6574;0.0021;0.001;0.0549;0.0014;0.0001;0.0;0.0005;0.0001;0.0309;0.0001;0.0069;0.0;0.0003;0.0;0.0069;0.0052;0.0003;0.0;0.0063;0.3426;0.0021;0.001;0.9451;0.0014;0.0001;0.0;0.0005;0.0001;0.0309;0.9999;0.0069;0.0;0.0003;0.0;0.0069;0.0052;0.0003;0.0;0.0063;0.1175
PRESSE_201811091915090081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9643;0.011;0.0081;0.0;0.0008;0.0;0.0;0.0015;0.0001;0.9479;0.0006;0.0558;0.0005;0.0009;0.006;0.0052;0.0034;0.0007;0.1275;0.0;0.9643;0.011;0.0081;0.0;0.0008;0.0;0.0;0.0015;0.0001;0.9479;0.0006;0.0558;0.0005;0.0009;0.006;0.0052;0.0034;0.0007;0.1275;0.0;0.1067
NVT_20130825348874E2F3;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0.9796;0.0973;0.03;0.0009;0.0067;0.0004;0.0;0.0038;0.0016;0.0312;0.0004;0.2615;0.0;0.0003;0.0001;0.1055;0.0067;0.001;0.0174;0.0008;0.0204;0.9027;0.03;0.0009;0.0067;0.9996;1.0;0.9962;0.0016;0.0312;0.9996;0.2615;0.0;0.0003;0.0001;0.1055;0.0067;0.001;0.0174;0.0008;0.2691
WZ_20140327031316211250086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0417;0.074;0.053;0.3041;0.0224;0.0032;0.0034;0.0096;0.0327;0.0017;0.004;0.0011;0.001;0.0091;0.0219;0.0001;0.0046;0.0111;0.0004;0.3157;0.0417;0.074;0.053;0.3041;0.0224;0.0032;0.0034;0.0096;0.0327;0.0017;0.004;0.0011;0.001;0.0091;0.0219;0.0001;0.0046;0.0111;0.0004;0.3157;0.0457
EMEDIA_20170825E2EFCA16F6;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0.8297;0.2287;0.4464;0.0067;0.0194;0.0001;0.0;0.0017;0.0014;0.4916;0.0001;0.096;0.008;0.0071;0.0023;0.0285;0.0002;0.0014;0.0001;0.0363;0.1703;0.2287;0.4464;0.9933;0.9806;0.0001;0.0;0.0017;0.0014;0.5084;0.0001;0.096;0.008;0.0071;0.0023;0.0285;0.0002;0.0014;0.9999;0.0363;0.2255
KRONE_20161030176580104;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.48;0.0006;0.013;0.0024;0.0126;0.0008;0.0003;0.0075;0.0145;0.1231;0.0005;0.0007;0.0018;0.001;0.6755;0.0002;0.0008;0.0097;0.1588;0.0042;0.52;0.0006;0.013;0.9976;0.0126;0.0008;0.0003;0.0075;0.0145;0.1231;0.0005;0.0007;0.0018;0.001;0.6755;0.0002;0.0008;0.0097;0.1588;0.0042;0.1272
