Article ID;GOLD: R: Risikotypen;GOLD: R: RT: Datenschutz, Privatsphäre, Überwachung;GOLD: R: RT: Haftung/Verantwortung;GOLD: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;GOLD: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;GOLD: R: RT: Intransparenz (Blackbox);GOLD: R: RT: Kommodifizierung der Nutzer (Ausbeutung);GOLD: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;GOLD: R: RT: Diskriminierung, Ungleichheit;GOLD: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;GOLD: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;GOLD: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;GOLD: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;GOLD: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);GOLD: R: RT: Wirtschaftlichkeit und Effizienz;GOLD: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;GOLD: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;GOLD: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;PRED: R: Risikotypen;PRED: R: RT: Datenschutz, Privatsphäre, Überwachung;PRED: R: RT: Haftung/Verantwortung;PRED: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;PRED: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;PRED: R: RT: Intransparenz (Blackbox);PRED: R: RT: Kommodifizierung der Nutzer (Ausbeutung);PRED: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;PRED: R: RT: Diskriminierung, Ungleichheit;PRED: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;PRED: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;PRED: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;PRED: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;PRED: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);PRED: R: RT: Wirtschaftlichkeit und Effizienz;PRED: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;PRED: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;PRED: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;AVG DIFF: R: Risikotypen;AVG DIFF: R: RT: Datenschutz, Privatsphäre, Überwachung;AVG DIFF: R: RT: Haftung/Verantwortung;AVG DIFF: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;AVG DIFF: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;AVG DIFF: R: RT: Intransparenz (Blackbox);AVG DIFF: R: RT: Kommodifizierung der Nutzer (Ausbeutung);AVG DIFF: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;AVG DIFF: R: RT: Diskriminierung, Ungleichheit;AVG DIFF: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;AVG DIFF: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;AVG DIFF: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;AVG DIFF: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;AVG DIFF: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);AVG DIFF: R: RT: Wirtschaftlichkeit und Effizienz;AVG DIFF: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;AVG DIFF: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;AVG DIFF: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;Average difference per article
IM_201606291AC7F29F5E;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.9993;0.0019;0.0003;0.0005;0.0008;0.0;0.0;0.0036;0.0002;0.9994;0.0;0.0018;0.0007;0.0003;0.1967;0.0621;0.0001;0.0204;0.0007;0.0019;0.0003;0.0005;0.0008;1.0;0.0;0.0036;0.0002;0.9994;0.0;0.0018;0.0007;0.0003;0.1967;0.0621;0.0001;0.0204;0.1272
VN_20160813234127320770111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9979;0.0009;0.0;0.0;0.0027;0.0;0.0;0.026;0.0;0.0039;0.0;0.0028;0.0001;0.0015;0.0289;0.9993;0.0001;0.9972;0.9979;0.0009;0.0;0.0;0.0027;0.0;0.0;0.026;0.0;0.0039;0.0;0.0028;0.0001;0.0015;0.0289;0.9993;0.0001;0.9972;0.1701
EMEDIA_201711244E597405B3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9299;0.0408;0.0308;0.0012;0.0376;0.0003;0.0;0.0569;0.0103;0.7028;0.0005;0.0786;0.0024;0.003;0.1074;0.0026;0.0012;0.3349;0.9299;0.0408;0.0308;0.0012;0.0376;0.0003;0.0;0.0569;0.0103;0.7028;0.0005;0.0786;0.0024;0.003;0.1074;0.0026;0.0012;0.3349;0.1301
WZ_200810170115320154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8665;0.0005;0.0004;0.0003;0.0691;0.0002;0.0;0.1453;0.0004;0.0686;0.0002;0.0109;0.0003;0.0001;0.0001;0.0004;0.0025;0.1901;0.8665;0.0005;0.0004;0.0003;0.0691;0.0002;0.0;0.1453;0.0004;0.0686;0.0002;0.0109;0.0003;0.0001;0.0001;0.0004;0.0025;0.1901;0.0753
KURIER_201511051920580101;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.9199;0.0042;0.0245;0.0001;0.0209;0.0;0.0;0.0021;0.0007;0.0213;0.0019;0.0538;0.0057;0.0001;0.0025;0.0035;0.0035;0.1913;0.0801;0.9958;0.0245;0.0001;0.0209;0.0;0.0;0.0021;0.0007;0.0213;0.0019;0.9462;0.0057;0.0001;0.0025;0.0035;0.0035;0.1913;0.1278
KURIER_201609080401410126;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0.9998;0.1529;0.0148;0.0075;0.402;0.0154;0.001;0.259;0.0081;0.0621;0.0007;0.6824;0.0088;0.004;0.0005;0.026;0.0031;0.9416;0.0002;0.1529;0.0148;0.0075;0.598;0.0154;0.001;0.741;0.0081;0.0621;0.0007;0.6824;0.0088;0.004;0.0005;0.026;0.0031;0.9416;0.1816
PRESSE_2018111635E6C549D7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9997;0.0024;0.0023;0.0006;0.0053;0.0;0.0;0.0029;0.0005;0.9998;0.0001;0.0028;0.0015;0.0008;0.0019;0.0081;0.0011;0.0021;0.9997;0.0024;0.0023;0.0006;0.0053;0.0;0.0;0.0029;0.0005;0.9998;0.0001;0.0028;0.0015;0.0008;0.0019;0.0081;0.0011;0.0021;0.1129
SN_20170914013122005340117;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0.5876;0.0049;0.0239;0.0;0.0061;0.0;0.0001;0.0137;0.0015;0.8673;0.0004;0.0031;0.001;0.003;0.0355;0.0104;0.0084;0.3303;0.4124;0.0049;0.0239;0.0;0.0061;0.0;0.0001;0.0137;0.9985;0.8673;0.9996;0.9969;0.001;0.003;0.0355;0.0104;0.0084;0.3303;0.2618
PROFIL_201404071031410011;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.8683;0.0046;0.0;0.0;0.0021;0.0;0.0;0.0236;0.0001;0.0544;0.0;0.0044;0.0001;0.0008;0.0168;0.6541;0.0;0.1318;0.1317;0.0046;0.0;0.0;0.9979;0.0;0.0;0.0236;0.0001;0.9456;0.0;0.0044;0.0001;0.0008;0.0168;0.6541;0.0;0.1318;0.1618
SN_20181020013238294520065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0351;0.0001;0.0003;0.0;0.0013;0.0;0.0;0.0002;0.0;0.0008;0.0002;0.0005;0.0001;0.0001;0.0008;0.0035;0.016;0.1594;0.0351;0.0001;0.0003;0.0;0.0013;0.0;0.0;0.0002;0.0;0.0008;0.0002;0.0005;0.0001;0.0001;0.0008;0.0035;0.016;0.1594;0.0121
TT_20180123C9871AE503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8956;0.0074;0.0006;0.0014;0.0022;0.0015;0.0001;0.0036;0.0016;0.0008;0.0004;0.1011;0.0012;0.0001;0.0001;0.0147;0.0001;0.2673;0.8956;0.0074;0.0006;0.0014;0.0022;0.0015;0.0001;0.0036;0.0016;0.0008;0.0004;0.1011;0.0012;0.0001;0.0001;0.0147;0.0001;0.2673;0.0722
PRESSE_201605291915150097;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.884;0.0;0.0002;0.0;0.0039;0.0;0.0;0.0101;0.0002;0.9114;0.0;0.0001;0.0018;0.0;0.004;0.0025;0.0002;0.4517;0.116;0.0;0.0002;0.0;0.9961;0.0;0.0;0.0101;0.0002;0.0886;0.0;0.0001;0.0018;0.0;0.004;0.0025;0.0002;0.4517;0.0929
STANDARD_20171115194502812820041;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0001;0.0018;0.0008;0.998;0.0095;0.0005;0.9674;0.948;0.6257;0.7202;0.9963;0.9987;0.0;0.0;0.0;0.0739;0.0881;0.0;0.0001;0.0018;0.0008;0.998;0.0095;0.0005;0.0326;0.948;0.6257;0.7202;0.9963;0.9987;0.0;0.0;0.0;0.0739;0.0881;0.3052
WZ_20171108031310271600038;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.998;0.1169;0.0042;0.0002;0.0182;0.0001;0.0002;0.282;0.0;0.5287;0.0017;0.7111;0.0;0.001;0.0024;0.2265;0.0023;0.0894;0.002;0.8831;0.0042;0.0002;0.0182;0.0001;0.0002;0.282;0.0;0.4713;0.0017;0.7111;0.0;0.001;0.0024;0.2265;0.0023;0.0894;0.1498
FORMATDB_201401101616150072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8113;0.0001;0.0034;0.0;0.0083;0.0;0.0;0.0088;0.0004;0.6425;0.0001;0.0001;0.0071;0.0;0.0003;0.0003;0.0013;0.5107;0.8113;0.0001;0.0034;0.0;0.0083;0.0;0.0;0.0088;0.0004;0.6425;0.0001;0.0001;0.0071;0.0;0.0003;0.0003;0.0013;0.5107;0.1108
PRESSE_201306301915390059;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.0264;0.0046;0.0009;0.0001;0.0012;0.0;0.0;0.0067;0.0001;0.1778;0.0;0.0035;0.0011;0.0049;0.003;0.0042;0.0461;0.004;0.9736;0.0046;0.0009;0.0001;0.0012;0.0;0.0;0.9933;0.0001;0.1778;0.0;0.0035;0.0011;0.0049;0.003;0.0042;0.0461;0.996;0.1784
FURCHE_2017112314B891ACDA;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0.887;0.0032;0.001;0.0001;0.0243;0.0;0.0002;0.0193;0.0005;0.9028;0.0013;0.0177;0.0022;0.0009;0.0016;0.0117;0.1171;0.6766;0.113;0.0032;0.001;0.0001;0.0243;0.0;0.0002;0.9807;0.9995;0.9028;0.9987;0.9823;0.0022;0.0009;0.0016;0.0117;0.1171;0.6766;0.3231
PRESSE_201507121915360104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9848;0.0004;0.0009;0.0;0.008;0.0;0.0;0.01;0.0048;0.8035;0.0004;0.0079;0.0284;0.0;0.007;0.0006;0.0014;0.7584;0.9848;0.0004;0.0009;0.0;0.008;0.0;0.0;0.01;0.0048;0.8035;0.0004;0.0079;0.0284;0.0;0.007;0.0006;0.0014;0.7584;0.1454
DATUM_201202011605500020;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0.3051;0.0031;0.0021;0.0;0.002;0.0;0.0;0.0069;0.0009;0.1029;0.0003;0.0151;0.0011;0.0002;0.0046;0.0045;0.0042;0.0119;0.6949;0.0031;0.0021;0.0;0.998;0.0;0.0;0.9931;0.0009;0.8971;0.0003;0.9849;0.0011;0.0002;0.0046;0.0045;0.0042;0.0119;0.2556
SN_201001072322140083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0033;0.0007;0.0;0.0002;0.0014;0.0;0.0;0.0018;0.0;0.0135;0.0;0.0002;0.0006;0.0007;0.0;0.0002;0.0014;0.0016;0.0033;0.0007;0.0;0.0002;0.0014;0.0;0.0;0.0018;0.0;0.0135;0.0;0.0002;0.0006;0.0007;0.0;0.0002;0.0014;0.0016;0.0014
KRONE_20160403211040257;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9467;0.001;0.0079;0.0;0.0025;0.0;0.0001;0.0221;0.0003;0.0999;0.0004;0.0321;0.0775;0.0001;0.0014;0.0042;0.1472;0.4614;0.0533;0.001;0.0079;0.0;0.9975;0.0;0.0001;0.0221;0.0003;0.0999;0.0004;0.0321;0.0775;0.0001;0.0014;0.0042;0.1472;0.4614;0.1059
KURIER_201606211920420083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1677;0.0027;0.0015;0.0001;0.0006;0.0;0.0;0.0004;0.0;0.1547;0.0;0.0186;0.0006;0.0011;0.0017;0.042;0.0002;0.0003;0.1677;0.0027;0.0015;0.0001;0.0006;0.0;0.0;0.0004;0.0;0.1547;0.0;0.0186;0.0006;0.0011;0.0017;0.042;0.0002;0.0003;0.0218
KRONE_201412200435490360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0223;0.0002;0.0;0.0001;0.0002;0.0;0.0;0.0023;0.0;0.0184;0.0;0.003;0.0007;0.0002;0.0002;0.0006;0.0002;0.0074;0.0223;0.0002;0.0;0.0001;0.0002;0.0;0.0;0.0023;0.0;0.0184;0.0;0.003;0.0007;0.0002;0.0002;0.0006;0.0002;0.0074;0.0031
WIENERIN_201712149207825157;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.9298;0.015;0.0117;0.0004;0.0001;0.0001;0.0;0.0023;0.0019;0.9547;0.0007;0.0839;0.0006;0.0014;0.0835;0.0033;0.0002;0.0868;0.0702;0.015;0.0117;0.0004;0.9999;0.0001;0.0;0.0023;0.0019;0.9547;0.0007;0.9161;0.0006;0.0014;0.0835;0.0033;0.0002;0.0868;0.1749
IM_201009291642160043;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0.9781;0.0211;0.0002;0.0001;0.0012;0.0001;0.0;0.0057;0.0001;0.9662;0.0003;0.0081;0.0004;0.0024;0.0009;0.0051;0.0006;0.0341;0.0219;0.0211;0.0002;0.0001;0.0012;0.0001;0.0;0.0057;0.0001;0.0338;0.0003;0.0081;0.9996;0.0024;0.0009;0.0051;0.9994;0.0341;0.1186
WZ_20180223031310791180041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1246;0.0002;0.0001;0.0;0.0005;0.0;0.0;0.0088;0.0;0.0024;0.0;0.0003;0.0;0.0;0.0149;0.0109;0.0002;0.0405;0.1246;0.0002;0.0001;0.0;0.0005;0.0;0.0;0.0088;0.0;0.0024;0.0;0.0003;0.0;0.0;0.0149;0.0109;0.0002;0.0405;0.0113
STANDARD_20180321194502095040050;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0.9201;0.0017;0.0005;0.0004;0.049;0.0011;0.0001;0.0661;0.0037;0.9666;0.0007;0.0031;0.0658;0.0031;0.0326;0.0006;0.0039;0.0844;0.0799;0.0017;0.0005;0.0004;0.049;0.0011;0.9999;0.9339;0.0037;0.0334;0.9993;0.9969;0.0658;0.0031;0.0326;0.0006;0.0039;0.0844;0.2383
STANDARD_200007081907270238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.1182;0.0001;0.0004;0.9689;0.0562;0.0024;0.9959;0.0;0.0048;0.9667;0.9859;0.0201;0.0;0.0;0.002;0.0007;0.0021;1.0;0.1182;0.0001;0.0004;0.9689;0.0562;0.0024;0.9959;0.0;0.0048;0.9667;0.9859;0.0201;0.0;0.0;0.002;0.0007;0.0021;0.2847
NEWS_2016040298A7674F75;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0.0559;0.0261;0.0001;0.0008;0.0001;0.0;0.0;0.0004;0.0;0.1045;0.0001;0.0113;0.0;0.0064;0.0025;0.0404;0.0;0.0004;0.9441;0.0261;0.0001;0.0008;0.9999;0.0;0.0;0.0004;1.0;0.8955;0.0001;0.0113;0.0;0.0064;0.0025;0.0404;0.0;0.0004;0.2182
STANDARD_20160105194002051940118;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0.9999;0.003;0.0003;0.0;0.0003;0.0;0.0;0.0253;0.0013;0.992;0.0013;0.024;0.0133;0.0002;0.0053;0.0076;0.3151;0.8375;0.0001;0.003;0.0003;0.0;0.0003;0.0;0.0;0.0253;0.0013;0.008;0.0013;0.024;0.9867;0.0002;0.0053;0.0076;0.3151;0.8375;0.1231
KURIER_201808281920480044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9999;0.0095;0.0019;0.0001;0.9968;0.0;0.0;0.0017;0.0001;0.0042;0.0017;0.9047;0.0008;0.0;0.0;0.0002;0.0058;0.0003;0.9999;0.0095;0.0019;0.0001;0.9968;0.0;0.0;0.0017;0.0001;0.0042;0.0017;0.9047;0.0008;0.0;0.0;0.0002;0.0058;0.0003;0.1627
KURIER_201708261920360109;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0.9999;0.0002;0.0;0.0;0.0185;0.0;0.0;0.4406;0.0001;0.6166;0.0;0.1762;0.0417;0.0;0.0002;0.009;0.0089;0.9925;0.0001;0.0002;0.0;0.0;0.9815;0.0;0.0;0.5594;0.0001;0.6166;0.0;0.1762;0.0417;0.0;0.0002;0.009;0.0089;0.0075;0.1334
FURCHE_20180509F6639BE236;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0.9968;0.0004;0.0004;0.0002;0.0329;0.0;0.0;0.0054;0.0004;0.9901;0.0004;0.0131;0.01;0.0;0.0005;0.0023;0.0011;0.0085;0.0032;0.0004;0.0004;0.0002;0.9671;1.0;0.0;0.9946;0.0004;0.9901;0.0004;0.9869;0.01;0.0;0.0005;0.0023;0.0011;0.0085;0.2759
TT_20170825BACDD2A41E;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0.7356;0.0091;0.0144;0.0001;0.0016;0.0;0.0;0.0014;0.0001;0.269;0.0004;0.0323;0.03;0.0003;0.005;0.0;0.0207;0.1707;0.2644;0.0091;0.0144;0.0001;0.0016;0.0;0.0;0.0014;0.0001;0.269;0.0004;0.9677;0.97;0.0003;0.005;0.0;0.0207;0.8293;0.1863
STANDARD_20161013194004252090046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7736;0.0004;0.0162;0.0001;0.0052;0.0;0.0001;0.0036;0.0002;0.3799;0.0004;0.0042;0.0332;0.0001;0.0005;0.0035;0.0011;0.9607;0.7736;0.0004;0.0162;0.0001;0.0052;0.0;0.0001;0.0036;0.0002;0.3799;0.0004;0.0042;0.0332;0.0001;0.0005;0.0035;0.0011;0.9607;0.1213
NEWS_200003092057410012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9899;0.0109;0.0001;0.0002;0.0003;0.0;0.0;0.0074;0.0;0.8615;0.0001;0.0198;0.0001;0.0;0.001;0.0023;0.0;0.0086;0.9899;0.0109;0.0001;0.0002;0.0003;0.0;0.0;0.0074;0.0;0.8615;0.0001;0.0198;0.0001;0.0;0.001;0.0023;0.0;0.0086;0.1057
OOEN_200809250400290135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0964;0.0001;0.0013;0.0;0.0025;0.0;0.0;0.0046;0.0;0.0001;0.0;0.0353;0.0574;0.0009;0.0001;0.0;0.0012;0.0209;0.0964;0.0001;0.0013;0.0;0.0025;0.0;0.0;0.0046;0.0;0.0001;0.0;0.0353;0.0574;0.0009;0.0001;0.0;0.0012;0.0209;0.0123
WZ_20151114031310271970073;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0.9995;0.0152;0.1648;0.0001;0.1344;0.0;0.0002;0.0528;0.0022;0.9627;0.0025;0.0858;0.0135;0.0006;0.0078;0.0253;0.0006;0.8871;0.0005;0.0152;0.1648;0.0001;0.8656;0.0;0.0002;0.0528;0.0022;0.9627;0.9975;0.0858;0.0135;0.0006;0.0078;0.0253;0.0006;0.8871;0.2268
KURIER_201801280401260080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0129;0.0001;0.0001;0.0;0.0006;0.0001;0.0;0.0044;0.0;0.0008;0.0;0.0052;0.0008;0.0001;0.0;0.0005;0.0006;0.0075;0.0129;0.0001;0.0001;0.0;0.0006;0.0001;0.0;0.0044;0.0;0.0008;0.0;0.0052;0.0008;0.0001;0.0;0.0005;0.0006;0.0075;0.0019
KURIER_200307111621030038;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.9987;0.0001;0.0118;0.0;0.0172;0.0;0.0;0.0068;0.001;0.7871;0.0002;0.0543;0.1408;0.0001;0.0014;0.0013;0.0084;0.8852;0.0013;0.0001;0.9882;0.0;0.0172;0.0;0.0;0.9932;0.001;0.7871;0.0002;0.0543;0.1408;0.0001;0.0014;0.0013;0.0084;0.8852;0.2155
SN_20150912110031136500056;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.0;0.1286;0.0184;0.0124;0.1375;0.0012;0.0002;0.6788;0.0073;0.9975;0.0031;0.5029;0.1462;0.0055;0.001;0.0022;0.0009;0.4176;0.0;0.1286;0.0184;0.0124;0.1375;0.0012;0.0002;0.3212;0.0073;0.9975;0.0031;0.5029;0.1462;0.0055;0.001;0.0022;0.0009;0.4176;0.1502
VN_201802240AED5AC3D8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.955;0.0058;0.0169;0.0;0.0083;0.0;0.0001;0.0021;0.0007;0.2124;0.0003;0.0231;0.0078;0.0013;0.0043;0.0152;0.0028;0.5297;0.955;0.0058;0.0169;0.0;0.0083;0.0;0.0001;0.0021;0.0007;0.2124;0.0003;0.0231;0.0078;0.0013;0.0043;0.0152;0.0028;0.5297;0.0992
WZ_20180609031309193220091;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0.9998;0.084;0.5306;0.0002;0.0186;0.0;0.0004;0.1492;0.002;0.9969;0.003;0.0621;0.004;0.0047;0.1757;0.046;0.0016;0.7773;0.0002;0.084;0.5306;0.0002;0.9814;0.0;0.0004;0.8508;0.002;0.9969;0.997;0.0621;0.004;0.0047;0.1757;0.954;0.0016;0.7773;0.3568
KURIER_201609091920420072;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0.9945;0.0035;0.0007;0.001;0.028;0.0001;0.0001;0.5998;0.0029;0.8633;0.0002;0.0997;0.0032;0.0001;0.0321;0.3141;0.0006;0.9882;0.0055;0.0035;0.0007;0.001;0.972;0.0001;0.0001;0.4002;0.0029;0.8633;0.0002;0.0997;0.0032;0.0001;0.0321;0.3141;0.0006;0.9882;0.2049
WZ_20181003_5098459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9969;0.0059;0.0043;0.0;0.0014;0.0;0.0002;0.0786;0.0003;0.0125;0.0;0.0997;0.001;0.0045;0.0255;0.9811;0.001;0.9964;0.9969;0.0059;0.0043;0.0;0.0014;0.0;0.0002;0.0786;0.0003;0.0125;0.0;0.0997;0.001;0.0045;0.0255;0.9811;0.001;0.9964;0.1783
STANDARD_200107071907170162;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0.9966;0.0094;0.0002;0.0029;0.0005;0.0;0.0;0.0003;0.0;0.8674;0.0062;0.3288;0.0013;0.0;0.0004;0.0001;0.0024;0.0;0.0034;0.0094;0.0002;0.0029;0.0005;0.0;1.0;0.0003;0.0;0.1326;0.9938;0.3288;0.0013;0.0;0.0004;0.0001;0.0024;0.0;0.1376
STANDARD_20161109194007308140095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8306;0.0007;0.0001;0.0;0.0012;0.0;0.0;0.0056;0.0;0.8394;0.0002;0.0002;0.0;0.0004;0.0004;0.0029;0.0012;0.0507;0.8306;0.0007;0.0001;0.0;0.0012;0.0;0.0;0.0056;0.0;0.8394;0.0002;0.0002;0.0;0.0004;0.0004;0.0029;0.0012;0.0507;0.0963
KRONE_20181023142940120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.346;0.0;0.0002;0.0;0.0078;0.0;0.0;0.0013;0.0001;0.002;0.0001;0.0002;0.0053;0.0;0.0004;0.0003;0.0007;0.0249;0.346;0.0;0.0002;0.0;0.0078;0.0;0.0;0.0013;0.0001;0.002;0.0001;0.0002;0.0053;0.0;0.0004;0.0003;0.0007;0.0249;0.0216
WZ_20181201_5133365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0036;0.0004;0.0068;0.0;0.0011;0.0;0.0;0.0004;0.0;0.0023;0.0008;0.0013;0.0025;0.0002;0.0;0.0;0.0044;0.0018;0.0036;0.0004;0.0068;0.0;0.0011;0.0;0.0;0.0004;0.0;0.0023;0.0008;0.0013;0.0025;0.0002;0.0;0.0;0.0044;0.0018;0.0014
WIBLATT_200804170205030184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9996;0.0043;0.0008;0.0;0.0017;0.0;0.0;0.0004;0.0;0.9995;0.0001;0.0024;0.0006;0.0002;0.0032;0.0082;0.0;0.0036;0.9996;0.0043;0.0008;0.0;0.0017;0.0;0.0;0.0004;0.0;0.9995;0.0001;0.0024;0.0006;0.0002;0.0032;0.0082;0.0;0.0036;0.1125
WIENERIN_20170126222697D75E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.955;0.0736;0.0971;0.0001;0.1604;0.0007;0.0004;0.0735;0.004;0.7413;0.0033;0.0304;0.0025;0.0046;0.0045;0.0024;0.0051;0.0734;0.955;0.0736;0.0971;0.0001;0.1604;0.0007;0.0004;0.0735;0.004;0.7413;0.0033;0.0304;0.0025;0.0046;0.0045;0.0024;0.0051;0.0734;0.124
VN_20121215232708007760147;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.9247;0.0001;0.0004;0.0001;0.0156;0.0;0.0001;0.0025;0.0001;0.0246;0.0001;0.0011;0.0017;0.0;0.0009;0.0439;0.0031;0.9857;0.0753;0.0001;0.0004;0.0001;0.0156;0.0;0.0001;0.0025;0.0001;0.0246;0.0001;0.0011;0.0017;0.0;0.0009;0.0439;0.0031;0.0143;0.0102
KRONE_201412191716410139;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0223;0.0002;0.0;0.0001;0.0002;0.0;0.0;0.0023;0.0;0.0184;0.0;0.003;0.0007;0.0002;0.0002;0.0006;0.0002;0.0074;0.9777;0.0002;0.0;0.0001;0.0002;0.0;0.0;0.0023;0.0;0.0184;0.0;0.003;0.0007;0.0002;0.0002;0.0006;0.0002;0.9926;0.1109
